136797,मीमांसामकरन्द,n,n-----m--a,,,,/miː.mɑː̃.sɑː.mə.kə.ɹən.d̪ə/,मीमांसा॔-मकरन्द,0
302398,,मूलद्वारवती,n,n-----f--ī,,,,/muː.ˈləd̪.ʋɑː.ɹə.ʋə.t̪iː/,मू॔ल-द्वार-वती,0
302399,136484,मूलग्रन्थ,n,n-----m--a,,,,/muː.ˈləg.ɹən.t̪ʰə/,मू॔ल-ग्रन्थ,0
302400,136485,मूलग्रन्थि,n,n-----f--i,,,,/muː.ˈləg.ɹən.t̪ʰi/,मू॔ल-ग्रन्थि,0
302401,137549,मूलगुण,n,n-----m--a,,,,/muː.lə.gu.ɳə/,मू॔ल-गुण,0
302402,,मूलगुणजाति,n,n-----f--i,,,,/muː.lə.gu.ɳə.d͡ʑɑː.t̪i/,मू॔ल-गुण-जाति,0
302403,,मूलहर,a,ap----a--a,,,,/muː.lə.ɦə.ɹə/,मू॔ल-हर,0
302404,,मूलहरत्व,n,n-----n--a,,,,/muː.lə.ɦə.ˈɹət̪.ʋə/,मू॔ल-हर-त्व,0
302405,137552,मूलज,n,n-----n--a,,,,/muː.lə.d͡ʑə/,मू॔ल-ज,0
302406,137550,मूलज,a,ap----a--a,,,,/muː.lə.d͡ʑə/,मू॔ल-ज,0
302407,137551,मूलज,n,n-----m--a,,,,/muː.lə.d͡ʑə/,मू॔ल-ज,0
302408,136488,मूलजातशान्ति,n,n-----f--i,,,,/muː.lə.d͡ʑɑː.t̪ə.ɕɑːn.t̪i/,मू॔ल-जात-शान्ति,0
302409,136489,मूलजाति,n,n-----f--i,,,,/muː.lə.d͡ʑɑː.t̪i/,मू॔ल-जाति,0
302411,137577,मूलक,a,ap----a--a,,ap----f--ā=>िका,,/muː.lə.kə/,मूलक,0
302413,137576,मूलक,n,n-----n--a,,,,/muː.lə.kə/,मूलक,0
302414,137575,मूलक,n,n-----m--a,,,,/muː.lə.kə/,मूलक,0
302416,136570,मूलकमूला,n,n-----f--ā,,,,/muː.lə.kə.muː.lɑː/,मूलक-मूला,0
302417,136567,मूलकपर्णी,n,n-----f--ī,,,,/muː.lə.kə.ˈpəɹ.ɳiː/,मूलक-पर्णी,0
302418,136566,मूलकपण,n,n-----m--a,,,,/muː.lə.kə.pə.ɳə/,मूलक-पण,0
302419,136568,मूलकपोतिका,n,n-----f--ā,,,,/muː.lə.kə.poː.t̪i.kɑː/,मूलक-पोतिका,0
302420,136569,मूलकपोती,n,n-----f--ī,,,,/muː.lə.kə.poː.t̪iː/,मूलक-पोती,0
302421,,मूलकर्मक्रिया,n,n-----f--ā,,,,/muː.lə.ˈkəɹ.ˈmək.ɹi.jɑː/,मू॔ल-कर्म-क्रिया,0
302422,136477,मूलकर्मन्,n,n-----n--n,,,,/muː.lə.ˈkəɹ.mən/,मू॔ल-कर्मन्,0
302423,,मूलकत्व,n,n-----n--a,,,,/muː.lə.ˈkət̪.ʋə/,मूलक-त्व,0
302424,,मूलकशाकट,a,ap----a--a,,,,/muː.lə.kə.ɕɑː.kə.ʈə/,मूलक-शाकट,0
302425,,मूलकशाकिन,a,ap----a--a,,,,/muː.lə.kə.ɕɑː.ki.nə/,मूलक-शाकिन,0
302426,136482,मूलकेसर,n,n-----m--a,,,,/muː.lə.keː.sə.ɹə/,मू॔ल-केसर,0
302427,136483,मूलखानक,n,n-----m--a,,,,/muː.lə.kʰɑː.nə.kə/,मू॔ल-खानक,0
302428,136571,मूलकोपदंशम्,r,rp--------,,,,/muː.lə.koː.pə.d̪ə.̃ɕəm/,मूलकोपदंशम्,0
302429,,मूलकादिसुत,a,ap----a--a,,ap----f--ā=>ा,,/muː.lə.kɑː.d̪i.su.t̪ə/,मूलकादि-सुत,0
302430,136478,मूलकार,n,n-----m--a,,,,/muː.lə.kɑː.ɹə/,मू॔ल-कार,0
302431,136479,मूलकारण,n,n-----n--a,,,,/muː.lə.kɑː.ɹə.ɳə/,मू॔ल-कारण,0
302432,136480,मूलकारिका,n,n-----f--ā,,,,/muː.lə.kɑː.ɹi.kɑː/,मू॔ल-कारिका,0
302433,137548,मूलकृच्छ्र,n,n-----m--a,,,"{'pos': 'n', 'person': '-', 'number': '-', 'tense': '-', 'mood': '-', 'voice': '-', 'gender': 'n', 'case': '-', 'group': '-', 'stem': 'a'}=मूलकृच्छ्र",/muː.lə.ˈkɹ̩t͡ɕ.t͡ɕʰɹə/,मू॔ल-कृच्छ्र,0
302434,136481,मूलकृत्,a,ap----a--c,,,,/muː.lə.kɹ̩t̪/,मू॔ल-कृ॔त्,0
302435,167124,मूलमन्त्र,n,n-----m--a,,,,/muː.lə.mən.t̪ɹə/,मू॔ल-मन्त्र,0
302436,,मूलमन्त्रमय,a,ap----a--a,,ap----f--ī=>ी,,/muː.lə.mən.t̪ɹə.mə.jə/,मू॔ल-मन्त्र-मय,0
302507,136539,मूलशाकट,n,n-----n--a,,,,/muː.lə.ɕɑː.kə.ʈə/,मू॔ल-शाकट,0
302437,,मूलमन्त्रसार,n,n-----m--a,,,,/muː.lə.mən.t̪ɹə.sɑː.ɹə/,मू॔ल-मन्त्र-सार,0
302438,,मूलमन्त्रार्थसार,n,n-----m--a,,,"{'pos': 'n', 'person': '-', 'number': '-', 'tense': '-', 'mood': '-', 'voice': '-', 'gender': 'n', 'case': '-', 'group': '-', 'stem': 'a'}=मूलमन्त्रार्थसार",/muː.lə.mən.t̪ɹɑːɹ.t̪ʰə.sɑː.ɹə/,मू॔ल-मन्त्रार्थ-सार,0
302439,136521,मूलमित्र,n,n-----m--a,,,,/muː.lə.ˈmit̪.ɹə/,मू॔ल-मित्र,0
302440,137560,मूलमाधव,n,n-----m--a,,,"{'pos': 'n', 'person': '-', 'number': '-', 'tense': '-', 'mood': '-', 'voice': '-', 'gender': 'n', 'case': '-', 'group': '-', 'stem': 'a'}=मूलमाधव",/muː.lə.mɑː.d̪ʰə.ʋə/,मू॔ल-माधव,0
