95015,पितरिशूर,n,n-----m--a,,,,/pi.t̪ə.ɹi.ɕuː.ɹə/,पितरि-शूर,0
321570,95022,पितृव्यघातिन्,n,n-----m--n,,,,/pi.ˈt̪ɹ̩ʋ.jə.gʰɑː.t̪in/,पितृव्य-घातिन्,0
321571,95023,पितृव्यपुत्र,n,n-----m--a,,,,/pi.ˈt̪ɹ̩ʋ.jə.ˈput̪.ɹə/,पितृव्य-पुत्र,0
321572,,पितृवाक्पर,a,ap----a--a,,,,/pi.t̪ɹ̩.ʋɑːk.pə.ɹə/,पितृ॔-वाक्-पर,0
321573,,पितृयज्ञ,n,n-----m--a,,,,/pi.t̪ɹ̩.ˈjəd͡ʑ.ɲə/,पितृ॔-यज्ञ॔,0
321576,94977,पितृयान,n,n-----n--a,,,,/pi.t̪ɹ̩.jɑː.nə/,पितृ॔-यान,0
321577,94974,पितृयाण,a,ap----a--a,,,,/pi.t̪ɹ̩.jɑː.ɳə/,पितृ॔-या॔ण,0
321578,,पितृयाण,n,n-----m--a,,,,/pi.t̪ɹ̩.jɑː.ɳə/,पितृ॔-या॔ण,0
321579,,पितृयाण,n,n-----n--a,,,,/pi.t̪ɹ̩.jɑː.ɳə/,पितृ॔-या॔ण,0
321580,94998,पितृशर्मन्,n,n-----m--n,,,,/pi.t̪ɹ̩.ˈɕəɹ.mən/,पितृ॔-शर्मन्,0
321581,,पितृश्रवण,a,ap----a--a,,,,/pit̪ɹ̩ɕɹəʋəɳə/,पितृ॔-श्र॔वण,0
321582,95000,पितृश्राद्ध,n,n-----n--a,,,,/pit̪ɹ̩ɕɹɑːd̪d̪ʰə/,पितृ॔-श्राद्ध,0
321583,95001,पितृषद्,a,ap----a--c,,,,/pi.t̪ɹ̩.ʂəd̪/,पितृ॔-ष॔द्,0
321584,95002,पितृषदन,a,ap----a--a,,,,/pi.t̪ɹ̩.ʂə.d̪ə.nə/,पितृ॔-ष॔दन,0
321585,,पितृष्वस्रीय,n,n-----m--a,,,,/pi.ˈt̪ɹ̩ʂ.ˈʋəs.ɹiː.jə/,पितृ॔-ष्वस्रीय,0
321586,,पितृष्वसामातुल,n,n-----m--a,,,,/pi.ˈt̪ɹ̩ʂ.ʋə.sɑː.mɑː.t̪u.lə/,पितृ॔-ष्वसा-मातुल,0
321587,95003,पितृष्वसृ,n,n-----f--r,,,,/pi.ˈt̪ɹ̩ʂ.ʋə.sɹ̩/,पितृ॔-ष्वसृ,0
321588,,पियरोज,n,n-----m--a,,,,/pi.jə.ɹoː.d͡ʑə/,पियरोज,0
321589,95187,पियाक,n,n-----m--a,,,,/pi.jɑː.kə/,पियाक,0
321590,95182,पियाल,n,n-----n--a,,,,/pi.jɑː.lə/,पियाल,0
321591,95181,पियाल,n,n-----m--a,,,,/pi.jɑː.lə/,पियाल,0
321592,,पियालबीज,n,n-----n--a,,,,/pi.jɑː.lə.biː.d͡ʑə/,पियाल-बीज,0
321593,95184,पियालमज्जा,n,n-----f--ā,,,,/pi.jɑː.lə.ˈməd͡ʑ.d͡ʑɑː/,पियाल-मज्जा,0
321594,95180,पियारु,a,ap----a--u,,,,/pi.jɑː.ɹu/,पियारु,0
321595,94666,पिञ्चदेव,n,n-----m--a,,,,/piɲ.t͡ɕə.d̪eː.ʋə/,पिञ्च-देव,0
321596,94663,पिञ्छ,n,n-----n--a,,,,/piɲ.t͡ɕʰə/,पिञ्छ,0
321597,,पिञ्ज्,v,v----d--2- v----a--0-,,,,/piɲd͡ʑ/,पिञ्ज्,0
321598,94728,पिञ्ज,n,n-----n--a,,,,/piɲ.d͡ʑə/,पिञ्ज,0
321600,94725,पिञ्ज,a,ap----a--a,,,,/piɲ.d͡ʑə/,पिञ्ज,0
321601,94726,पिञ्ज,n,n-----m--a,,,,/piɲ.d͡ʑə/,पिञ्ज,0
321604,94737,पिञ्जल,a,ap----a--a,,,,/piɲ.d͡ʑə.lə/,पिञ्जल,0
321605,94740,पिञ्जल,n,n-----n--a,,,,/piɲ.d͡ʑə.lə/,पिञ्जल,0
321606,,पिञ्जलक,a,ap----a--a,,,,/piɲ.d͡ʑə.lə.kə/,पिञ्जलक,0
321607,94738,पिञ्जला,n,n-----f--ā,,,,/piɲ.d͡ʑə.lɑː/,पिञ्जला,0
321608,94739,पिञ्जली,n,n-----f--ī,,,,/piɲ.d͡ʑə.liː/,पिञ्जली,0
321609,94730,पिञ्जन,n,n-----n--a,,,,/piɲ.d͡ʑə.nə/,पिञ्जन,0
321611,94731,पिञ्जर,a,ap----a--a,,ap----f--ā=>ा,,/piɲ.d͡ʑə.ɹə/,पिञ्जर,0
321612,94732,पिञ्जर,n,n-----m--a,,,,/piɲ.d͡ʑə.ɹə/,पिञ्जर,0
321616,94733,पिञ्जर,n,n-----n--a,,,,/piɲ.d͡ʑə.ɹə/,पिञ्जर,0
321618,94735,पिञ्जरक,n,n-----n--a,,,,/piɲ.d͡ʑə.ɹə.kə/,पिञ्जरक,0
321619,94734,पिञ्जरक,n,n-----m--a,,,,/piɲ.d͡ʑə.ɹə.kə/,पिञ्जरक,0
321620,,पिञ्जरत्व,n,n-----n--a,,,,/piɲ.d͡ʑə.ˈɹət̪.ʋə/,पिञ्जर-त्व,0
321621,,पिञ्जरता,n,n-----f--ā,,,,/piɲ.d͡ʑə.ɹə.t̪ɑː/,पिञ्जर-ता,0
321623,94736,पिञ्जरिक,n,n-----n--a,,,,/piɲ.d͡ʑə.ɹi.kə/,पिञ्जरिक,0
321624,,पिञ्जरिमन्,n,n-----m--n,,,,/piɲ.d͡ʑə.ɹi.mən/,पिञ्जरिमन्,0
321625,,पिञ्जरित,a,ap----a--a,,,,/piɲ.d͡ʑə.ɹi.t̪ə/,पिञ्जरित,0
321626,,पिञ्जरीकृ,v,v----a--8-,,,,/piɲ.d͡ʑə.ɹiː.kɹ̩/,पिञ्जरी-कृ,0
321627,94729,पिञ्जट,n,n-----m--a,,,,/piɲ.d͡ʑə.ʈə/,पिञ्जट,0
321628,94745,पिञ्जेट,n,n-----n--a,,,,/piɲ.d͡ʑeː.ʈə/,पिञ्जेट,0
321629,94742,पिञ्जिका,n,n-----f--ā,,,,/piɲ.d͡ʑi.kɑː/,पिञ्जिका,0
321630,94746,पिञ्जोता,n,n-----f--ā,,,,/piɲ.d͡ʑoː.t̪ɑː/,पिञ्जोता,0
321631,94743,पिञ्जुल,n,n-----n--a,,,,/piɲ.d͡ʑu.lə/,पिञ्जुल,0
321632,94727,पिञ्जा,n,n-----f--ā,,,,/piɲ.d͡ʑɑː/,पिञ्जा,0
321637,94741,पिञ्जान,n,n-----n--a,,,,/piɲ.d͡ʑɑː.nə/,पिञ्जान,0
321638,219864,पिञ्जी,n,n-----f--ī,,,,/piɲ.d͡ʑiː/,पिञ्जी,0
321639,,पिञ्जूल,n,n-----n--a,,,n-----f--ī=पिञ्जूलई,/piɲ.d͡ʑuː.lə/,पिञ्जूल,0
321640,,पिञ्जूलक,n,n-----m--a,,,,/piɲ.d͡ʑuː.lə.kə/,पिञ्जूलक,0
321641,94744,पिञ्जूष,n,n-----m--a,,,,/piɲ.d͡ʑuː.ʂə/,पिञ्जूष,0
321642,220588,पिश्,n,n-----f--c,,,,/piɕ/,पि॔श्,0
321643,,पिश्,v,v----a--6- v----d--6-,,,,/piɕ/,पिश्,0
321644,95200,पिश,n,n-----m--a,,,,/pi.ɕə/,पिश॔,0
321645,95203,पिशङ्ग,n,n-----m--a,,,,/pi.ɕəŋ.gə/,पिश॔ङ्ग,0
321646,95202,पिशङ्ग,a,ap----a--a,,ap----f--ī=>ी,,/pi.ɕəŋ.gə/,पिश॔ङ्ग,0
321648,,पिशङ्गभृष्टि,a,ap----a--i,,,,/pi.ɕəŋ.gə.ˈbʱɹ̩ʂ.ʈi/,पिश॔ङ्ग-भृष्टि,0
321649,95204,पिशङ्गजट,n,n-----m--a,,,,/pi.ɕəŋ.gə.d͡ʑə.ʈə/,पिश॔ङ्ग-जट,0
321650,141020,पिशङ्गक,n,n-----m--a,,,,/pi.ɕəŋ.gə.kə/,पिशङ्ग॔क,0
321651,,पिशङ्गराति,a,ap----a--i,,,,/pi.ɕəŋ.gə.ɹɑː.t̪i/,पिश॔ङ्ग-राति,0
321652,95206,पिशङ्गत्व,n,n-----n--a,,,,/pi.ɕəŋ.ˈgət̪.ʋə/,पिश॔ङ्ग-त्व,0
321653,,पिशङ्गता,n,n-----f--ā,,,,/pi.ɕəŋ.gə.t̪ɑː/,पिश॔ङ्ग-ता,0
321655,144237,पिशङ्गिल,a,ap----a--a,,ap----f--ā=>ा,,/pi.ɕəŋ.gi.lə/,पिशङ्गिल॔,0
321656,141021,पिशङ्गित,a,ap----a--a,,,,/pi.ɕəŋ.gi.t̪ə/,पिशङ्गित,0
321657,,पिशङ्गाश्व,a,ap----a--a,,,,/piɕəŋgɑːɕʋə/,पिश॔ङ्गाश्व,0
321658,,पिशङ्गीकृ,v,v----a--8-,,,,/pi.ɕəŋ.giː.kɹ̩/,पिशङ्गी-कृ,0
321659,141068,पिशिक,n,n-----m--a,,,,/pi.ɕi.kə/,पिशिक,0
321661,,पिशित,a,ap----a--a,,,,/pi.ɕi.t̪ə/,पिशित॔,0
321662,144248,पिशित,n,n-----n--a,,,,/pi.ɕi.t̪ə/,पिशित॔,0
321663,141057,पिशितभुज्,a,ap----a--c,,,,/pi.ɕi.t̪ə.bʱud͡ʑ/,पिशित॔-भुज्,0
321664,141058,पिशितलोचन,a,ap----a--a,,,,/pi.ɕi.t̪ə.loː.t͡ɕə.nə/,पिशित॔-लोचन,0
321665,,पिशितनिभ,a,ap----a--a,,,,/pi.ɕi.t̪ə.ni.bʱə/,पिशित॔-निभ,0
321666,141054,पिशितपङ्कावनद्धास्थिपञ्जरमय,a,ap----a--a,,ap----f--ī=>ी,,/pi.ɕi.t̪ə.pəŋ.kɑː.ʋə.ˈnəd̪.d̪ʰɑːs.t̪ʰi.pəɲ.d͡ʑə.ɹə.mə.jə/,पिशित॔-पङ्कावनद्धास्थि-पञ्जर-मय,0
321667,141055,पिशितपिण्ड,n,n-----m--a,,,,/pi.ɕi.t̪ə.ˈpiɳ.ɖə/,पिशित॔-पिण्ड,0
321668,141056,पिशितप्ररोह,n,n-----m--a,,,,/pi.ɕi.ˈt̪əp.ɹə.ɹoː.ɦə/,पिशित॔-प्ररोह,0
321669,,पिशितौदन,n,n-----m--a,,,"{'pos': 'n', 'person': '-', 'number': '-', 'tense': '-', 'mood': '-', 'voice': '-', 'gender': 'n', 'case': '-', 'group': '-', 'stem': 'a'}=पिशितौदन",/pi.ɕi.ˈt̪əौ.d̪ə.nə/,पिशितौदन,0
321670,141059,पिशितवसामय,a,ap----a--a,,ap----f--ī=>ी,,/pi.ɕi.t̪ə.ʋə.sɑː.mə.jə/,पिशित॔-वसा-मय,0
321671,,पिशितेप्सु,a,ap----a--u,,,,/pi.ɕi.t̪eːp.su/,पिशितेप्सु,0
321672,144247,पिशिता,n,n-----f--ā,,,,/pi.ɕi.t̪ɑː/,पिशिता,0
321673,,पिशिताकाङ्क्षिन्,a,ap----a--n,,,,/pi.ɕi.t̪ɑː.kɑːŋk.ʂin/,पिशिताकाङ्क्षिन्,0
321674,141061,पिशिताम,n,n-----n--a,,,,/pi.ɕi.t̪ɑː.mə/,पिशिताम,0
321675,144252,पिशितासन,n,n-----m--a,,,,/pi.ɕi.t̪ɑː.sə.nə/,पिशितासन,0
321677,144249,पिशिताश,n,n-----m--a,,,,/pi.ɕi.t̪ɑː.ɕə/,पिशिताश,0
321678,,पिशिताशन,a,ap----a--a,,,,/pi.ɕi.t̪ɑː.ɕə.nə/,पिशिताशन,0
321679,,पिशिताशिन्,a,ap----a--n,,,,/pi.ɕi.t̪ɑː.ɕin/,पिशिताशिन्,0
321681,144254,पिशिताशिन्,n,n-----m--n,,,,/pi.ɕi.t̪ɑː.ɕin/,पिशिताशिन्,0
321682,144250,पिशिताशा,n,n-----f--ā,,,,/pi.ɕi.t̪ɑː.ɕɑː/,पिशिताशा,0
321684,144257,पिशुन,n,n-----m--a,,,,/pi.ɕu.nə/,पि॔शुन,0
321687,144256,पिशुन,a,ap----a--a,,,,/pi.ɕu.nə/,पि॔शुन,0
321688,144259,पिशुन,n,n-----n--a,,,,/pi.ɕu.nə/,पि॔शुन,0
321692,,पिशुनता,n,n-----f--ā,,,,/pi.ɕu.nə.t̪ɑː/,पि॔शुन-ता,0
321693,,पिशुनवचन,n,n-----n--a,,,,/pi.ɕu.nə.ʋə.t͡ɕə.nə/,पि॔शुन-वचन,0
321694,141066,पिशुनवाद,n,n-----m--a,,,,/pi.ɕu.nə.ʋɑː.d̪ə/,पि॔शुन-वाद,0
321695,,पिशुनवाक्य,n,n-----n--a,,,,/pi.ɕu.nə.ʋɑːk.jə/,पि॔शुन-वाक्य,0
321697,141067,पिशुनित,a,ap----a--a,,,,/pi.ɕu.ni.t̪ə/,पिशुनित,0
321698,144258,पिशुना,n,n-----f--ā,,,,/pi.ɕu.nɑː/,पि॔शुना,0
321699,144260,पिशुनी,n,n-----f--ī,,,,/pi.ɕu.niː/,पि॔शुनी,0
321700,144238,पिशाच,n,n-----m--a,,,n-----f--ā=पिशाचआ,/pi.ɕɑː.t͡ɕə/,पिशाच॔,0
321701,141036,पिशाचभिक्षा,n,n-----f--ā,,,,/pi.ɕɑː.t͡ɕə.ˈbʱik.ʂɑː/,पिशाच॔-भिक्षा,0
321702,141035,पिशाचभाष्य,n,n-----n--a,,,,/pi.ɕɑː.t͡ɕə.bʱɑːʂ.jə/,पिशाच॔-भाष्य,0
321703,141034,पिशाचभाषा,n,n-----f--ā,,,,/pi.ɕɑː.t͡ɕə.bʱɑː.ʂɑː/,पिशाच॔-भाषा,0
321704,141033,पिशाचबाधा,n,n-----f--ā,,,,/pi.ɕɑː.t͡ɕə.bɑː.d̪ʰɑː/,पिशाच॔-बाधा,0
321705,141025,पिशाचचर्या,n,n-----f--ā,,,,/pi.ɕɑː.t͡ɕə.ˈt͡ɕəɹ.jɑː/,पिशाच॔-चर्या,0
321706,141026,पिशाचचातन,a,ap----a--a,,,,/pi.ɕɑː.t͡ɕə.t͡ɕɑː.t̪ə.nə/,पिशाच॔-चा॔तन,0
321707,,पिशाचदक्षिणा,n,n-----f--ā,,,,/pi.ɕɑː.t͡ɕə.ˈd̪ək.ʂi.ɳɑː/,पिशाच॔-दक्षिणा,0
321708,141030,पिशाचद्रु,n,n-----m--u,,,,/pi.ɕɑː.ˈt͡ɕəd̪.ɹu/,पिशाच॔-द्रु,0
321709,141029,पिशाचदीपिका,n,n-----f--ā,,,,/pi.ɕɑː.t͡ɕə.d̪iː.pi.kɑː/,पिशाच॔-दीपिका,0
321710,141024,पिशाचगृहीतक,n,n-----m--a,,,,/pi.ɕɑː.t͡ɕə.gɹ̩.ɦiː.t̪ə.kə/,पिशाच॔-गृहीतक,0
321711,141043,पिशाचहन्,a,ap----a--n,,,,/pi.ɕɑː.t͡ɕə.ɦən/,पिशाच॔-हन्,0
321712,141027,पिशाचजम्भन,a,ap----a--a,,,,/pi.ɕɑː.t͡ɕə.d͡ʑəm.bʱə.nə/,पिशाच॔-ज॔म्भन,0
321714,144245,पिशाचक,n,n-----m--a,,,,/pi.ɕɑː.t͡ɕə.kə/,पिशाचक,0
321715,144243,पिशाचक,a,ap----a--a,,ap----f--ā=>िका,,/pi.ɕɑː.t͡ɕə.kə/,पिशाचक,0
321716,141048,पिशाचकपुर,n,n-----n--a,,,,/pi.ɕɑː.t͡ɕə.kə.pu.ɹə/,पिशाचक-पुर,0
321717,141049,पिशाचकिन्,n,n-----m--n,,,,/pi.ɕɑː.t͡ɕə.kin/,पिशाचकिन्,0
321718,,पिशाचकालचक्रयुद्धवर्णन,n,n-----n--a,,,,/pi.ɕɑː.t͡ɕə.kɑː.lə.ˈt͡ɕək.ɹə.ˈjud̪.d̪ʰə.ˈʋəɹ.ɳə.nə/,पिशाच॔-काल-चक्र-युद्ध-वर्णन,0
321719,,पिशाचक्षयण,a,ap----a--a,,,,/pi.ɕɑː.ˈt͡ɕək.ʂə.jə.ɳə/,पिशाच॔-क्ष॔यण,0
321720,144242,पिशाचमोचन,n,n-----n--a,,,,/pi.ɕɑː.t͡ɕə.moː.t͡ɕə.nə/,पिशाच॔-मोचन,0
321721,,पिशाचमोचनकथन,n,n-----n--a,,,,/pi.ɕɑː.t͡ɕə.moː.t͡ɕə.nə.kə.t̪ʰə.nə/,पिशाच॔-मोचन-कथन,0
321722,,पिशाचमोचनतीर्थ,n,n-----n--a,,,,/pi.ɕɑː.t͡ɕə.moː.t͡ɕə.nə.t̪iːɹ.t̪ʰə/,पिशाच॔-मोचन-तीर्थ,0
321723,141032,पिशाचपति,n,n-----m--i,,,,/pi.ɕɑː.t͡ɕə.pə.t̪i/,पिशाच॔-पति,0
321724,,पिशाचसभ,n,n-----n--a,,,,/pi.ɕɑː.t͡ɕə.sə.bʱə/,पिशाच॔-सभ,0
321725,,पिशाचसंचार,n,n-----m--a,,,,/pi.ɕɑː.t͡ɕə.səɲ.t͡ɕɑː.ɹə/,पिशाच॔-संचार,0
321726,,पिशाचत्व,n,n-----n--a,,,,/pi.ɕɑː.ˈt͡ɕət̪.ʋə/,पिशाच॔-त्व,0
321727,144241,पिशाचता,n,n-----f--ā,,,,/pi.ɕɑː.t͡ɕə.t̪ɑː/,पिशाच॔-ता,0
321728,,पिशाचवदन,a,ap----a--a,,,,/pi.ɕɑː.t͡ɕə.ʋə.d̪ə.nə/,पिशाच॔-वदन,0
321729,,पिशाचवेद,n,n-----m--a,,,,/pi.ɕɑː.t͡ɕə.ʋeː.d̪ə/,पिशाच॔-वेद,0
321730,141038,पिशाचविद्यावेद,n,n-----m--a,,,,/pi.ɕɑː.t͡ɕə.ˈʋid̪.jɑː.ʋeː.d̪ə/,पिशाच॔-विद्या-वेद,0
321731,,पिशाचवृक्ष,n,n-----m--a,,,,/pi.ɕɑː.t͡ɕə.ˈʋɹ̩k.ʂə/,पिशाच॔-वृक्ष,0
321732,141041,पिशाचश्वन्,n,n-----m--n,,,,/piɕɑːt͡ɕəɕʋən/,पिशाच॔-श्वन्,0
321733,141050,पिशाचि,n,n-----m--i,,,,/pi.ɕɑː.t͡ɕi/,पिशाचि,0
321734,144244,पिशाचिका,n,n-----f--ā,,,,/pi.ɕɑː.t͡ɕi.kɑː/,पिशाचिका,0
321736,141051,पिशाचिकी,n,n-----f--ī,,,,/pi.ɕɑː.t͡ɕi.kiː/,पिशाचिकी,0
321737,141046,पिशाचोदुम्बर,n,n-----m--a,,,,/pi.ɕɑː.t͡ɕoː.d̪um.bə.ɹə/,पिशाचोदुम्बर,0
321738,,पिशाचोरगराक्षस,n,n-----m--a,,,,/pi.ɕɑː.t͡ɕoː.ɹə.gə.ɹɑːk.ʂə.sə/,पिशाचोरग-राक्षस,0
321739,144239,पिशाचा,n,n-----f--ā,,,,/pi.ɕɑː.t͡ɕɑː/,पिशाचा,0
321740,141045,पिशाचालय,n,n-----m--a,,,,/pi.ɕɑː.t͡ɕɑː.lə.jə/,पिशाचालय,0
321741,141044,पिशाचाङ्गना,n,n-----f--ā,,,,/pi.ɕɑː.t͡ɕɑːŋ.gə.nɑː/,पिशाचाङ्गना,0
321742,144240,पिशाची,n,n-----f--ī,,,,/pi.ɕɑː.t͡ɕiː/,पिशाची,0
321746,141052,पिशाचीकरण,n,n-----n--a,,,,/pi.ɕɑː.t͡ɕiː.kə.ɹə.ɳə/,पिशाची-करण,0
321747,95201,पिशी,n,n-----f--ī,,,,/pi.ɕiː/,पिशी,0
321749,144263,पिशील,n,n-----n--a,,,,/pi.ɕiː.lə/,पिशील,0
321750,141069,पिशीलमात्र,n,n-----n--a,,,,/pi.ɕiː.lə.mɑːt̪.ɹə/,पिशील-मात्र,0
321751,141070,पिशीलवीणा,n,n-----f--ā,,,,/pi.ɕiː.lə.ʋiː.ɳɑː/,पिशील-वीणा,0
321752,144264,पिशीली,n,n-----f--ī,,,,/pi.ɕiː.liː/,पिशीली,0
321753,94765,पिडक,n,n-----m--a,,,n-----f--ā=पिडकआ,/pi.ɖə.kə/,पिडक,0
321754,201792,पिडकिन्,a,ap----a--n,,,,/pi.ɖə.kin/,पिडकिन्,0
321755,94766,पिडकावत्,a,ap----a--c,,,,/pi.ɖə.kɑː.ʋət̪/,पिडका-वत्,0
321756,,पिंस्,v,v----a--1- v----a--0-,,,,/pĩs/,पिंस्,0
321760,94667,पिङ्ग,a,ap----a--a,,ap----f--ā=>ा,,/piŋ.gə/,पिङ्ग,0
321762,94668,पिङ्ग,n,n-----m--a,,,,/piŋ.gə/,पिङ्ग,0
321763,94671,पिङ्ग,n,n-----n--a,,,,/piŋ.gə/,पिङ्ग,0
321765,94673,पिङ्गचक्षुस्,n,n-----m-su,,,,/piŋ.gə.ˈt͡ɕək.ʂus/,पिङ्ग-चक्षुस्,0
321766,94676,पिङ्गदन्त,n,n-----m--a,,,,/piŋ.gə.d̪ən.t̪ə/,पिङ्ग-दन्त,0
321767,94678,पिङ्गदेह,n,n-----m--a,,,,/piŋ.gə.d̪eː.ɦə/,पिङ्ग-देह,0
321887,,पिण्ड्,v,v----d--1- v----a--0-,,,,/piɳɖ/,पिण्ड्,0
321768,94677,पिङ्गदृश्,n,n-----m--c,,,,/piŋ.gə.d̪ɹ̩ɕ/,पिङ्ग-दृश्,0
321769,94674,पिङ्गजट,n,n-----m--a,,,,/piŋ.gə.d͡ʑə.ʈə/,पिङ्ग-जट,0
321770,94672,पिङ्गकपिशा,n,n-----f--ā,,,,/piŋ.gə.kə.pi.ɕɑː/,पिङ्ग-कपिशा,0
321772,94695,पिङ्गल,n,n-----n--a,,,n-----f--ā=पिङ्गलआ n-----f--ī=पिङ्गलई,/piŋ.gə.lə/,पिङ्गल॔,0
321773,94693,पिङ्गल,n,n-----m--a,,,,/piŋ.gə.lə/,पिङ्गल॔,0
321793,,पिङ्गलभावोद्द्योत,n,n-----m--a,,,,/piŋ.gə.lə.bʱɑː.ʋoːd̪.d̪joː.t̪ə/,पिङ्गल॔-भावोद्द्योत,0
321794,,पिङ्गलच्छन्दह्सूत्र,n,n-----n--a,,,,/piŋ.gə.ˈlət͡ɕ.t͡ɕʰən.ˈd̪əh.suːt̪.ɹə/,पिङ्गल॔-च्छन्दः-सूत्र,0
321795,,पिङ्गलच्छन्दोवृत्ति,n,n-----f--i,,,,/piŋ.gə.ˈlət͡ɕ.t͡ɕʰən.d̪oː.ˈʋɹ̩t̪.t̪i/,पिङ्गल॔-च्छन्दो-वृत्ति,0
321796,,पिङ्गलच्छन्दोवृत्तिव्याख्या,n,n-----n--ā,,,,/piŋ.gə.ˈlət͡ɕ.t͡ɕʰən.d̪oː.ˈʋɹ̩t̪.ˈt̪iʋ.jɑːkʰ.jɑː/,पिङ्गल॔-च्छन्दो-वृत्ति-व्याख्या,0
321797,94697,पिङ्गलगान्धार,n,n-----m--a,,,,/piŋ.gə.lə.gɑːn.d̪ʰɑː.ɹə/,पिङ्गल॔-गान्धार,0
321798,94699,पिङ्गलज्य,a,ap----a--a,,,,/piŋ.gə.ˈləd͡ʑ.jə/,पिङ्गल॔-ज्य,0
321799,94717,पिङ्गलक,a,ap----a--a,,ap----f--ā=>िका,,/piŋ.gə.lə.kə/,पिङ्गलक,0
321802,94715,पिङ्गलक,n,n-----m--a,,,,/piŋ.gə.lə.kə/,पिङ्गलक,0
321803,94696,पिङ्गलकाण्व,n,n-----m--a,,,,/piŋ.gə.lə.kɑːɳ.ʋə/,पिङ्गल॔-काण्व,0
321804,94705,पिङ्गललोह,n,n-----n--a,,,,/piŋ.gə.lə.loː.ɦə/,पिङ्गल॔-लोह,0
321805,,पिङ्गलमतप्रकाश,n,n-----m--a,,,,/piŋ.gə.lə.mə.ˈt̪əp.ɹə.kɑː.ɕə/,पिङ्गल॔-मत-प्रकाश,0
321806,94702,पिङ्गलनाग,n,n-----m--a,,,,/piŋ.gə.lə.nɑː.gə/,पिङ्गल॔-नाग,0
321807,,पिङ्गलप्रदीप,n,n-----m--a,,,,/piŋ.gə.ˈləp.ɹə.d̪iː.pə/,पिङ्गल॔-प्रदीप,0
321808,94703,पिङ्गलप्रकाश,n,n-----m--a,,,,/piŋ.gə.ˈləp.ɹə.kɑː.ɕə/,पिङ्गल॔-प्रकाश,0
321809,,पिङ्गलप्रणवोपनिषद्,n,n-----f--c,,,,/piŋ.gə.ˈləp.ɹə.ɳə.ʋoː.pə.ni.ʂəd̪/,पिङ्गल॔-प्रणवोपनिषद्,0
321810,94704,पिङ्गलरोमन्,a,ap----a--n,,,,/piŋ.gə.lə.ɹoːmən/,पिङ्गल॔-रोमन्,0
